"Rumex nepalensis
Spreng.",,Rumex_nepalensis
"Rumex patientia
L. subsp. tibeticus
(Rech.f.) Rech.f.",,Rumex_patientia
"Sabulina kashmirica
(Edgew.) Dillenb.
& Kadereit.
(=Minuartia
kashmirica (Edgew.
& Hook.f.) Mattf.,
Minuartia lineata
(Boiss.) Bornm.)",,Minuartia_foliosa
Salix caesia vill.,,Salix_caesia
"Salix flabellaris
Andersson",,Salix_flabellaris
"Salix karelinii Turcz.
ex Stschegl.",,Salix_karelinii
"Salix pycnostachya
Andersson",,Salix_pycnostachya
"Salix sericocarpa
Andersson (=Salix
oxycarpa Anderss.)",,Salix_sericocarpa
Salsola collina Pall.,,Salsola_collina
"Salsola tragus L.
(=Salsola ruthenica
Iljin)",,Salsola_tragus
"Saussurea schultzii
Hook.f.",,Saussurea_schultzii
"Saussurea
gnaphalodes (Royle
ex Royle) Sch.Bip.",,Saussurea_gnaphlodes
"Saxifraga flagellaris
Willd.",,Saxifraga_flagellaris
"Saxifraga meeboldii
Engl. & Irmsch.",,Saxifraga_meeboldi
"Scorzonera virgata
DC.",,Scorzonera_virgata
"Scrophularia dentata
Royle ex Benth.",,Scrophularia_dentata
"Scrophularia koelzii
Pennell",,Scrophularia_koelzii
"Semenovia
lasiocarpa (Boiss.)
Manden.",,Semenovia_lasiocarpa
"Shangwua jacea
(Klotzsch) Yu
J.Wang & Raab-
Straube (=Saussurea
jacea (Klotzsch)
Clarke)",,Saussurea_jacea
"Sibbaldia cuneata
Schouw ex Kunze",,Sibbaldia_cuneata
"Sibbaldianthe
bifurca (L.)
Kurtto & T.Erikss.
(=Schistophyllidium
bifurcum (L.) Ikonn.,
Potentilla bifurca L.)",,Sibbaldianthe_bifurca
"Silene caespitella
F.N.Williams",,Silene_caespitella
"Silene moorcroftiana
Wall. ex Benth.",,Silene_moorcroftiana
"Silene vulgaris
(Moench) Garcke",,Silene_vulgaris
"Sisymbrium
brassiciforme
C.A.Mey.",,Sisymbrium_brassiciforme
"Solenanthus
circinnatus Ledeb.",,Solenanthus_circinatus_Ledeb.
"Stipa caucasica
Schmalh.",,Stipa_caucasica_(g)
"Stipa himalaica
Roshev.",,Stipa_himalaica_(g)
"Stipa purpurea
Griseb.",,Stipa_purpurea_(g)
"Tanacetum
artemisioides Sch.
Bip. ex Hook.f.",,Tanacetum_artemisioides
"Taraxacum officinale
F.H.Wigg.",,Taraxacum_officinale
"Thalictrum alpinum
L.",,Thalictrum_alpinum
"Thalictrum foetidum
L. subsp. foetidum
L. (=Thalictrum
vaginatum Royle)",,Thalictrum_foetidum
"Thermopsis inflata
Cambess.",,Thermopsis_inflata
"Thesium hookeri
Hendrych",,Thesium_hookeri
"Thymus linearis
Benth.",,Thymus_linearis
"Trichophorum
pumilum Schinz &
Thell.",,Trichophorum_pumilum_(s)
Trifolium pratense L.,,Trifolium_pratense
"Triglochin maritima
L.",,Triglochin_maritima
"Tulipa clusiana
Redout̩",,Tulipa_stellata
"Verbascum thapsus
L.",,Verbascum_thapsus
