Name of taxa,Family,Plant group,PresenceInData,"Plant
Antirrhinum majus_L.,Plantaginaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Kargil, Leh","6028-SAZ,
32198-
KASH",,
Aphragmus_ladakianus Al-_Shehbaz,Brassicaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,Leh,"4748-
KASH",,
Aphragmus obscurus_(Dunn) O.E.Schulz,Brassicaceae,Angiosperm,0,Dicot,Herb,NE,Annual,Matayan,"4749-SAZ,
32415-
KASH",,
Aphragmus_oxycarpus (Hook._f. & Thomson) Jafri_(=Braya oxycarpa_Hook.f.& Thomson),Brassicaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Marpu La,
Khardong
La, Zanaskar
valley, Nyoma","4750-SAZ,
14878-
KASH",,
Apocynum venetum_L. (=Trachomitum_venetum (L.)_Woodson),Apocynaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Zanaskar
valley, Nubra
valley","6647-SAZ,
34210-
KASH",,
Aquilegia fragrans_Benth.,Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Zanaskar
valley,
Panikhar,
Matayan,
Nubra valley,
Sankoo,
Batalik,
Alchi, Hemis,
Parkachik,
Nyoma, Leh","4727-SAZ,
37043-
KASH",,
Aquilegia_moorcroftiana Wall._Ex Royle,Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kargil, Nubra
valley, Drass,
Zanaskar
valley, Saru
valley, Sankoo,
Rangdum","6180-SAZ,
26194-
KASH",,
Aquilegia nivalis_(Baker) Bruehl,Ranunculaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kargil,
Panikhar,
Batalik","11747-
KASH,
35217-
KASH",,
Arabidopsis thaliana_(L.) Heynh.,Brassicaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Zanaskar
valley, Kargil,
Padum, Leh,
Nubra valley,
Drass, Turtuk","4751-SAZ,
26667-
KASH",,
Arabis alpina L.,Brassicaceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Sapi La,
Chang La,
Budhkharbu","6773-SAZ,
20614-
KASH",,
Arabis paniculata_Franch.,Brassicaceae,Angiosperm,0,Dicot,Herb,NE,Annual,"Nubra valley,
Zanaskar
valley","6774-SAZ,
25410-
KASH",,
Arctium lappa L.,Asteraceae,Angiosperm,0,Dicot,Herb,NE,Perennial,"Kargil,
Leh, Drass,
Zanaskar
valley","4587-SAZ,
28764-
KASH",,
Arctopoa tibetica_(Munro ex Stapf)_Prob. (=Poa tibetica_Munro ex Stapf),Poaceae,Angiosperm,0,Monocot,Herb,NE,Perennial,Drass,"33298-
KASH",,
